,GENE ID
745,ENSG00000170776
746,ENSG00000259367
747,ENSG00000186471
748,ENSG00000197976
749,ENSG00000214992
750,ENSG00000166452
751,ENSG00000174574
752,ENSG00000257786
753,ENSG00000228125
754,ENSG00000135334
755,ENSG00000251482
756,ENSG00000106948
757,ENSG00000162641
758,ENSG00000117448
759,ENSG00000085662
760,ENSG00000229991
761,ENSG00000213452
762,ENSG00000213785
763,ENSG00000237876
764,ENSG00000258685
765,ENSG00000225212
766,ENSG00000266899
767,ENSG00000231371
768,ENSG00000198074
769,ENSG00000213606
770,ENSG00000263355
771,ENSG00000227471
772,ENSG00000187134
773,ENSG00000151632
774,ENSG00000196139
775,ENSG00000198610
776,ENSG00000225418
777,ENSG00000151631
778,ENSG00000215267
779,ENSG00000264006
780,ENSG00000122787
781,ENSG00000227776
782,ENSG00000165568
783,ENSG00000053371
784,ENSG00000229020
785,ENSG00000224341
786,ENSG00000162482
787,ENSG00000211454
788,ENSG00000142208
789,ENSG00000204673
790,ENSG00000105221
791,ENSG00000117020
792,ENSG00000228939
793,ENSG00000166971
794,ENSG00000271137
795,ENSG00000226432
796,ENSG00000255376
797,ENSG00000148218
798,ENSG00000023330
799,ENSG00000158578
800,ENSG00000163631
801,ENSG00000170017
802,ENSG00000165092
803,ENSG00000128918
804,ENSG00000259285
805,ENSG00000184254
806,ENSG00000259583
807,ENSG00000137124
808,ENSG00000144908
809,ENSG00000250218
810,ENSG00000246022
811,ENSG00000136010
812,ENSG00000111275
813,ENSG00000108602
814,ENSG00000072210
815,ENSG00000006534
816,ENSG00000132746
817,ENSG00000159423
818,ENSG00000112294
819,ENSG00000119711
820,ENSG00000164904
821,ENSG00000251400
822,ENSG00000232292
823,ENSG00000243853
824,ENSG00000234489
825,ENSG00000118514
826,ENSG00000143149
827,ENSG00000161618
828,ENSG00000059573
829,ENSG00000149925
830,ENSG00000242849
831,ENSG00000214297
832,ENSG00000136872
833,ENSG00000109107
834,ENSG00000033011
835,ENSG00000189366
836,ENSG00000251287
837,ENSG00000251087
838,ENSG00000226943
839,ENSG00000238278
840,ENSG00000251271
