,GENE ID
1088,ENSG00000196912
1089,ENSG00000214262
1090,ENSG00000230006
1091,ENSG00000174501
1092,ENSG00000188399
1093,ENSG00000186352
1094,ENSG00000213337
1095,ENSG00000154945
1096,ENSG00000167117
1097,ENSG00000137494
1098,ENSG00000247137
1099,ENSG00000065413
1100,ENSG00000231621
1101,ENSG00000225979
1102,ENSG00000236977
1103,ENSG00000183831
1104,ENSG00000186106
1105,ENSG00000168876
1106,ENSG00000228446
1107,ENSG00000225349
1108,ENSG00000248616
1109,ENSG00000214684
1110,ENSG00000151458
1111,ENSG00000139645
1112,ENSG00000144031
1113,ENSG00000100124
1114,ENSG00000236442
1115,ENSG00000164512
1116,ENSG00000124227
1117,ENSG00000157999
1118,ENSG00000181626
1119,ENSG00000259271
1120,ENSG00000189295
1121,ENSG00000230778
1122,ENSG00000235098
1123,ENSG00000225905
1124,ENSG00000230062
1125,ENSG00000064999
1126,ENSG00000185046
1127,ENSG00000168096
1128,ENSG00000175311
1129,ENSG00000165138
1130,ENSG00000206199
1131,ENSG00000163516
1132,ENSG00000011426
1133,ENSG00000131620
1134,ENSG00000254902
1135,ENSG00000047617
1136,ENSG00000134343
1137,ENSG00000254819
1138,ENSG00000151572
1139,ENSG00000171714
1140,ENSG00000177119
1141,ENSG00000146205
1142,ENSG00000237276
1143,ENSG00000074855
1144,ENSG00000185101
1145,ENSG00000160746
1146,ENSG00000011201
1147,ENSG00000241859
1148,ENSG00000140350
1149,ENSG00000259516
1150,ENSG00000136938
1151,ENSG00000259790
1152,ENSG00000231801
1153,ENSG00000259461
1154,ENSG00000248546
1155,ENSG00000139223
1156,ENSG00000143401
1157,ENSG00000166825
1158,ENSG00000103254
1159,ENSG00000169604
1160,ENSG00000163297
1161,ENSG00000274209
1162,ENSG00000263482
1163,ENSG00000135046
1164,ENSG00000182718
1165,ENSG00000213406
1166,ENSG00000231991
1167,ENSG00000216740
1168,ENSG00000177721
1169,ENSG00000215068
1170,ENSG00000177738
1171,ENSG00000138772
1172,ENSG00000196975
1173,ENSG00000164111
1174,ENSG00000197043
1175,ENSG00000138279
1176,ENSG00000265190
1177,ENSG00000264230
1178,ENSG00000143412
1179,ENSG00000109511
1180,ENSG00000122359
1181,ENSG00000104537
1182,ENSG00000136250
1183,ENSG00000230539
1184,ENSG00000002726
1185,ENSG00000131480
1186,ENSG00000131471
1187,ENSG00000260105
1188,ENSG00000148120
1189,ENSG00000138356
1190,ENSG00000243478
1191,ENSG00000244301
1192,ENSG00000284084
1193,ENSG00000138660
1194,ENSG00000260526
1195,ENSG00000100280
1196,ENSG00000234479
1197,ENSG00000232707
1198,ENSG00000166747
1199,ENSG00000213983
1200,ENSG00000258727
1201,ENSG00000072958
1202,ENSG00000129354
1203,ENSG00000227534
1204,ENSG00000106367
1205,ENSG00000182287
1206,ENSG00000226046
1207,ENSG00000152056
1208,ENSG00000196961
1209,ENSG00000183020
1210,ENSG00000006125
1211,ENSG00000234130
1212,ENSG00000161203
1213,ENSG00000042753
1214,ENSG00000132842
1215,ENSG00000103723
1216,ENSG00000065000
1217,ENSG00000185009
1218,ENSG00000070718
1219,ENSG00000177879
1220,ENSG00000157823
1221,ENSG00000134262
1222,ENSG00000226167
1223,ENSG00000081014
1224,ENSG00000221838
1225,ENSG00000100478
1226,ENSG00000254470
1227,ENSG00000053770
1228,ENSG00000125843
1229,ENSG00000242802
1230,ENSG00000120868
1231,ENSG00000107282
1232,ENSG00000034053
1233,ENSG00000011132
1234,ENSG00000166313
1235,ENSG00000077420
1236,ENSG00000163697
1237,ENSG00000113108
1238,ENSG00000134982
1239,ENSG00000115266
1240,ENSG00000154856
1241,ENSG00000198768
1242,ENSG00000231290
1243,ENSG00000132703
1244,ENSG00000164062
1245,ENSG00000248329
1246,ENSG00000100823
1247,ENSG00000169188
1248,ENSG00000117362
1249,ENSG00000138613
1250,ENSG00000166181
1251,ENSG00000234558
1252,ENSG00000213962
1253,ENSG00000149089
1254,ENSG00000169621
1255,ENSG00000171388
1256,ENSG00000134817
1257,ENSG00000105290
1258,ENSG00000084234
1259,ENSG00000101474
1260,ENSG00000118137
1261,ENSG00000235910
1262,ENSG00000158874
1263,ENSG00000110244
1264,ENSG00000110243
1265,ENSG00000084674
1266,ENSG00000111701
1267,ENSG00000124701
1268,ENSG00000128383
1269,ENSG00000248822
1270,ENSG00000179750
1271,ENSG00000249310
1272,ENSG00000244509
1273,ENSG00000243811
1274,ENSG00000128394
1275,ENSG00000239713
1276,ENSG00000100298
1277,ENSG00000173627
1278,ENSG00000184730
1279,ENSG00000130208
1280,ENSG00000214855
1281,ENSG00000234906
1282,ENSG00000110245
1283,ENSG00000267467
1284,ENSG00000224916
1285,ENSG00000189058
1286,ENSG00000130203
1287,ENSG00000175336
1288,ENSG00000091583
1289,ENSG00000100342
1290,ENSG00000128335
1291,ENSG00000128284
1292,ENSG00000100336
1293,ENSG00000128313
1294,ENSG00000221963
1295,ENSG00000178878
1296,ENSG00000204444
1297,ENSG00000274823
1298,ENSG00000184831
1299,ENSG00000155008
1300,ENSG00000270560
1301,ENSG00000240902
1302,ENSG00000255700
1303,ENSG00000248122
1304,ENSG00000260240
1305,ENSG00000142192
1306,ENSG00000273492
1307,ENSG00000230606
1308,ENSG00000062725
1309,ENSG00000259349
1310,ENSG00000157500
1311,ENSG00000136044
1312,ENSG00000198590
1313,ENSG00000198931
1314,ENSG00000214293
1315,ENSG00000137074
1316,ENSG00000240583
1317,ENSG00000167580
1318,ENSG00000165272
1319,ENSG00000171885
1320,ENSG00000260372
1321,ENSG00000161798
1322,ENSG00000257588
1323,ENSG00000086159
1324,ENSG00000165269
1325,ENSG00000259916
1326,ENSG00000186466
1327,ENSG00000181997
1328,ENSG00000279688
1329,ENSG00000176115
1330,ENSG00000278122
1331,ENSG00000103375
1332,ENSG00000103569
1333,ENSG00000143595
1334,ENSG00000178301
1335,ENSG00000184945
1336,ENSG00000185176
1337,ENSG00000021776
1338,ENSG00000169083
1339,ENSG00000078061
1340,ENSG00000231264
1341,ENSG00000224368
1342,ENSG00000227298
1343,ENSG00000186635
1344,ENSG00000256007
1345,ENSG00000245148
1346,ENSG00000047365
1347,ENSG00000120318
1348,ENSG00000198576
1349,ENSG00000095139
1350,ENSG00000109321
1351,ENSG00000119682
1352,ENSG00000143761
1353,ENSG00000219807
1354,ENSG00000213137
1355,ENSG00000253885
1356,ENSG00000134287
1357,ENSG00000168374
1358,ENSG00000272146
1359,ENSG00000271525
1360,ENSG00000236527
1361,ENSG00000214051
1362,ENSG00000231222
1363,ENSG00000004059
1364,ENSG00000165527
1365,ENSG00000101199
1366,ENSG00000149182
1367,ENSG00000242247
1368,ENSG00000066777
1369,ENSG00000271966
1370,ENSG00000124198
1371,ENSG00000112379
1372,ENSG00000164144
1373,ENSG00000132254
1374,ENSG00000101246
1375,ENSG00000118520
1376,ENSG00000081181
1377,ENSG00000186103
1378,ENSG00000240058
1379,ENSG00000265293
1380,ENSG00000134884
1381,ENSG00000175220
1382,ENSG00000089820
1383,ENSG00000100852
1384,ENSG00000258655
1385,ENSG00000047648
1386,ENSG00000241484
1387,ENSG00000123329
1388,ENSG00000071205
1389,ENSG00000198826
1390,ENSG00000262728
1391,ENSG00000288864
1392,ENSG00000285077
1393,ENSG00000247728
1394,ENSG00000165322
1395,ENSG00000075884
1396,ENSG00000231758
1397,ENSG00000258894
1398,ENSG00000140750
1399,ENSG00000146376
1400,ENSG00000213390
1401,ENSG00000269891
1402,ENSG00000137727
1403,ENSG00000107863
1404,ENSG00000128805
1405,ENSG00000248682
1406,ENSG00000275832
1407,ENSG00000260781
1408,ENSG00000138639
1409,ENSG00000163219
1410,ENSG00000145819
1411,ENSG00000226272
1412,ENSG00000230789
1413,ENSG00000159314
1414,ENSG00000215769
1415,ENSG00000267472
1416,ENSG00000088756
1417,ENSG00000266441
1418,ENSG00000137962
1419,ENSG00000226835
1420,ENSG00000186517
1421,ENSG00000031081
1422,ENSG00000241155
1423,ENSG00000134909
1424,ENSG00000004777
1425,ENSG00000160007
