,GENE NAME,GENE ID
996,ARID3A,ENSG00000116017
997,ARID3B,ENSG00000179361
998,ARID3C,ENSG00000205143
999,ARID4A,ENSG00000032219
1000,ARID4B,ENSG00000054267
1001,ARID5A,ENSG00000196843
1002,ARID5B,ENSG00000150347
1003,ARIH1,ENSG00000166233
1004,ARIH2,ENSG00000177479
1005,ARL1,ENSG00000120805
1006,ARL2,ENSG00000213465
1007,ARL2BP,ENSG00000102931
1008,ARL3,ENSG00000138175
1009,ARL4A,ENSG00000122644
1010,ARL4C,ENSG00000188042
1011,ARL4D,ENSG00000175906
1012,ARL5A,ENSG00000162980
1013,ARL5B,ENSG00000165997
1014,ARL5C,ENSG00000141748
1015,ARL6,ENSG00000113966
1016,ARL6IP1,ENSG00000170540
1017,ARL6IP4,ENSG00000182196
1018,ARL6IP5,ENSG00000144746
1019,ARL6IP6,ENSG00000177917
1020,ARL8A,ENSG00000143862
1021,ARL8B,ENSG00000134108
1022,ARL9,ENSG00000196503
1023,ARL10,ENSG00000175414
1024,ARL11,ENSG00000152213
1025,ARL13A,ENSG00000174225
1026,ARL13B,ENSG00000169379
1027,ARL14,ENSG00000179674
1028,ARL14EP,ENSG00000152219
1029,ARL14EPL,ENSG00000268223
1030,ARL15,ENSG00000185305
1031,ARL16,ENSG00000214087
1032,ARL17A,ENSG00000185829
1033,ARL17B,ENSG00000228696
1034,ARMC1,ENSG00000104442
1035,ARMC2,ENSG00000118690
1036,ARMC3,ENSG00000165309
1037,ARMC5,ENSG00000140691
1038,ARMC6,ENSG00000105676
1039,ARMC7,ENSG00000125449
1040,ARMC8,ENSG00000114098
1041,ARMC9,ENSG00000135931
1042,ARMC10,ENSG00000170632
1043,ARMC12,ENSG00000157343
1044,ARMCX1,ENSG00000126947
1045,ARMCX2,ENSG00000184867
1046,ARMCX3,ENSG00000102401
1047,ARMCX4,ENSG00000196440
1048,ARMCX5,ENSG00000125962
1049,ARMCX6,ENSG00000198960
1050,ARMH1,ENSG00000198520
1051,ARMH2,ENSG00000260286
1052,ARMH3,ENSG00000120029
1053,ARMH4,ENSG00000139971
1054,ARMS2,ENSG00000254636
1055,ARMT1,ENSG00000146476
1056,ARNT,ENSG00000143437
1057,ARNT2,ENSG00000172379
1058,ARPC1A,ENSG00000241685
1059,ARPC1B,ENSG00000130429
1060,ARPC2,ENSG00000163466
1061,ARPC3,ENSG00000111229
1062,ARPC4,ENSG00000241553
1063,ARPC5,ENSG00000162704
1064,ARPC5L,ENSG00000136950
1065,ARPIN,ENSG00000242498
1066,ARPP19,ENSG00000128989
1067,ARPP21,ENSG00000172995
1068,ARR3,ENSG00000120500
1069,ARRB1,ENSG00000137486
1070,ARRB2,ENSG00000141480
1071,ARRDC1,ENSG00000197070
1072,ARRDC2,ENSG00000105643
1073,ARRDC3,ENSG00000113369
1074,ARRDC4,ENSG00000140450
1075,ARRDC5,ENSG00000205784
1076,ARSA,ENSG00000100299
1077,ARSB,ENSG00000113273
1078,ARSD,ENSG00000006756
1079,ARSF,ENSG00000062096
1080,ARSG,ENSG00000141337
1081,ARSH,ENSG00000205667
1082,ARSI,ENSG00000183876
1083,ARSJ,ENSG00000180801
1084,ARSK,ENSG00000164291
1085,ARSL,ENSG00000157399
1086,ART1,ENSG00000129744
1087,ART3,ENSG00000156219
1088,ART4,ENSG00000111339
1089,ART5,ENSG00000167311
1090,ARTN,ENSG00000117407
1091,ARV1,ENSG00000173409
1092,ARVCF,ENSG00000099889
1093,ARX,ENSG00000004848
1094,AS3MT,ENSG00000214435
1095,ASAH1,ENSG00000104763
1096,ASAH2,ENSG00000188611
1097,ASAH2B,ENSG00000204147
1098,ASAP1,ENSG00000153317
1099,ASAP2,ENSG00000151693
1100,ASAP3,ENSG00000088280
1101,ASB1,ENSG00000065802
1102,ASB2,ENSG00000100628
1103,ASB3,ENSG00000115239
1104,ASB4,ENSG00000005981
1105,ASB5,ENSG00000164122
1106,ASB6,ENSG00000148331
1107,ASB7,ENSG00000183475
1108,ASB8,ENSG00000177981
1109,ASB9,ENSG00000102048
1110,ASB10,ENSG00000146926
1111,ASB11,ENSG00000165192
1112,ASB12,ENSG00000198881
1113,ASB13,ENSG00000196372
1114,ASB14,ENSG00000239388
1115,ASB15,ENSG00000146809
1116,ASB16,ENSG00000161664
1117,ASB17,ENSG00000154007
1118,ASB18,ENSG00000182177
1119,ASCC1,ENSG00000138303
1120,ASCC2,ENSG00000100325
1121,ASCC3,ENSG00000112249
1122,ASCL1,ENSG00000139352
1123,ASCL2,ENSG00000183734
